main_entity,entity_type,mention_count,mentions,source_file
数据类型,数据类型实体,6,数据类型,java.txt
类,数据类型实体,49,类,java.txt
Java,领域实体,3,Java,java.txt
基本数据类型,数据类型实体,2,基本数据类型,java.txt
引用数据类型,数据类型实体,2,引用数据类型,java.txt
byte,数据类型实体,1,byte,java.txt
short,数据类型实体,1,short,java.txt
int,数据类型实体,8,int,java.txt
long,数据类型实体,1,long,java.txt
float,数据类型实体,1,float,java.txt
double,数据类型实体,1,double,java.txt
char,数据类型实体,2,char,java.txt
boolean,数据类型实体,1,boolean,java.txt
接口,数据类型实体,15,接口,java.txt
数组,数据类型实体,6,数组,java.txt
枚举,数据类型实体,1,枚举,java.txt
注解,领域实体,8,注解,java.txt
变量,变量与成员实体,11,变量,java.txt
局部变量,变量与成员实体,2,局部变量,java.txt
成员变量,变量与成员实体,2,成员变量,java.txt
实例,面向对象核心实体,6,实例,java.txt
实例变量,变量与成员实体,2,实例变量,java.txt
静态变量,变量与成员实体,2,静态变量,java.txt
类变量,数据类型实体,1,类变量,java.txt
算术运算符,运算符实体,1,算术运算符,java.txt
关系运算符,运算符实体,1,关系运算符,java.txt
逻辑运算符,运算符实体,1,逻辑运算符,java.txt
位运算符,运算符实体,1,位运算符,java.txt
赋值运算符,运算符实体,1,赋值运算符,java.txt
三元运算符,运算符实体,1,三元运算符,java.txt
条件分支,流程控制实体,1,条件分支,java.txt
if-else,流程控制实体,1,if-else,java.txt
switch-case,流程控制实体,1,switch-case,java.txt
循环结构,流程控制实体,1,循环结构,java.txt
for,流程控制实体,2,for,java.txt
while,流程控制实体,2,while,java.txt
do-while,流程控制实体,1,do-while,java.txt
跳转语句,流程控制实体,1,跳转语句,java.txt
break,流程控制实体,1,break,java.txt
continue,流程控制实体,1,continue,java.txt
return,流程控制实体,1,return,java.txt
面向对象,领域实体,1,面向对象,java.txt
对象,面向对象核心实体,12,对象,java.txt
封装,面向对象核心实体,1,封装,java.txt
继承,面向对象核心实体,6,继承,java.txt
多态,面向对象核心实体,3,多态,java.txt
Class,面向对象核心实体,10,Class | class,java.txt
Object,面向对象核心实体,1,Object,java.txt
构造方法,面向对象核心实体,1,构造方法,java.txt
初始化,JVM 与内存管理实体,2,初始化,java.txt
方法重载,面向对象核心实体,1,方法重载,java.txt
Overloading,面向对象核心实体,1,Overloading,java.txt
方法重写,面向对象核心实体,1,方法重写,java.txt
Overriding,面向对象核心实体,1,Overriding,java.txt
子类,数据类型实体,3,子类,java.txt
父类,数据类型实体,5,父类,java.txt
访问控制修饰符,关键字与修饰符实体,1,访问控制修饰符,java.txt
private,关键字与修饰符实体,2,private,java.txt
default,关键字与修饰符实体,1,default,java.txt
protected,关键字与修饰符实体,1,protected,java.txt
public,关键字与修饰符实体,4,public,java.txt
static,关键字与修饰符实体,2,static,java.txt
final,关键字与修饰符实体,4,final,java.txt
abstract,关键字与修饰符实体,3,abstract,java.txt
interface,关键字与修饰符实体,3,interface,java.txt
extends,关键字与修饰符实体,3,extends,java.txt
implements,关键字与修饰符实体,2,implements,java.txt
