main_entity,entity_type,mention_count,mentions,source_file,normalized_entity,aliases,section_titles,merged_entities,disambiguation_confidence,disambiguation_method,disambiguation_basis
加载,类加载过程实体,146,加载,JVM.txt,加载,加载,全文 | 静态属性导致内存泄露 | 使用ThreadLocal,加载,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=加载；章节=全文|静态属性导致内存泄露|使用ThreadLocal
gc,领域实体,85,gc | GC,JVM.txt,gc,gc | GC,全文 | 未关闭的资源 | 使用ThreadLocal,gc,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=gc；章节=全文|未关闭的资源|使用ThreadLocal
堆,内存区域实体,71,堆,JVM.txt,堆,堆,全文 | 静态属性导致内存泄露 | 使用ThreadLocal,堆,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=堆；章节=全文|静态属性导致内存泄露|使用ThreadLocal
类加载,领域实体,63,类加载,JVM.txt,类加载,类加载,全文 | 使用ThreadLocal,类加载,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=类加载；章节=全文|使用ThreadLocal
线程,线程与私有性相关实体,62,线程,JVM.txt,线程,线程,全文 | 使用ThreadLocal,线程,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=线程；章节=全文|使用ThreadLocal
使用,类加载过程实体,60,使用,JVM.txt,使用,使用,全文 | 静态属性导致内存泄露 | 未关闭的资源 | 使用ThreadLocal,使用,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=使用；章节=全文|静态属性导致内存泄露|未关闭的资源|使用ThreadLocal
垃圾回收,领域实体,58,垃圾回收,JVM.txt,垃圾回收,垃圾回收,全文 | 静态属性导致内存泄露 | 使用ThreadLocal,垃圾回收,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=垃圾回收；章节=全文|静态属性导致内存泄露|使用ThreadLocal
JVM,领域实体,46,JVM | jvm,JVM.txt,JVM,JVM | jvm,全文 | 未关闭的资源 | 使用ThreadLocal,JVM,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=JVM；章节=全文|未关闭的资源|使用ThreadLocal
老年代,堆结构实体,36,老年代,JVM.txt,老年代,老年代,全文 | 使用ThreadLocal,老年代,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=老年代；章节=全文|使用ThreadLocal
G1,垃圾回收器实体,32,G1,JVM.txt,G1,G1,全文 | 使用ThreadLocal,G1,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=G1；章节=全文|使用ThreadLocal
新生代,堆结构实体,27,新生代,JVM.txt,新生代,新生代,全文 | 使用ThreadLocal,新生代,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=新生代；章节=全文|使用ThreadLocal
常量,方法区与元数据相关实体,26,常量,JVM.txt,常量,常量,全文 | 使用ThreadLocal,常量,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=常量；章节=全文|使用ThreadLocal
