main_entity,entity_type,mention_count,mentions,source_file,normalized_entity,aliases,section_titles,merged_entities,disambiguation_confidence,disambiguation_method,disambiguation_basis
树,具体数据结构实体,13,树,data_structure.txt,树,树,全文,树,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=树；章节=全文
节点,存储与组成相关实体,9,节点,data_structure.txt,节点,节点,全文,节点,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=节点；章节=全文
图,具体数据结构实体,8,图,data_structure.txt,图,图,全文,图,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=图；章节=全文
数据结构,领域实体,8,数据结构,data_structure.txt,数据结构,数据结构,全文,数据结构,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=数据结构；章节=全文
队列,具体数据结构实体,6,队列,data_structure.txt,队列,队列,全文,队列,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=队列；章节=全文
删除,算法与操作实体,5,删除,data_structure.txt,删除,删除,全文,删除,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=删除；章节=全文
插入,算法与操作实体,5,插入,data_structure.txt,插入,插入,全文,插入,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=插入；章节=全文
查找,算法与操作实体,5,查找,data_structure.txt,查找,查找,全文,查找,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=查找；章节=全文
线性结构,结构分类实体,5,线性结构,data_structure.txt,线性结构,线性结构,全文,线性结构,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=线性结构；章节=全文
二叉树,具体数据结构实体,4,二叉树,data_structure.txt,二叉树,二叉树,全文,二叉树,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=二叉树；章节=全文
哈希表,具体数据结构实体,4,哈希表,data_structure.txt,哈希表,哈希表,全文,哈希表,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=哈希表；章节=全文
堆,具体数据结构实体,4,堆,data_structure.txt,堆,堆,全文,堆,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=堆；章节=全文
数组,具体数据结构实体,4,数组,data_structure.txt,数组,数组,全文,数组,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=数组；章节=全文
栈,具体数据结构实体,4,栈,data_structure.txt,栈,栈,全文,栈,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=栈；章节=全文
广度优先搜索,算法与操作实体,3,广度优先搜索,data_structure.txt,广度优先搜索,广度优先搜索,全文,广度优先搜索,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=广度优先搜索；章节=全文
时间复杂度,复杂度实体,3,时间复杂度,data_structure.txt,时间复杂度,时间复杂度,全文,时间复杂度,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=时间复杂度；章节=全文
链表,具体数据结构实体,3,链表,data_structure.txt,链表,链表,全文,链表,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=链表；章节=全文
非线性结构,结构分类实体,3,非线性结构,data_structure.txt,非线性结构,非线性结构,全文,非线性结构,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=非线性结构；章节=全文
优先队列,具体数据结构实体,2,优先队列,data_structure.txt,优先队列,优先队列,全文,优先队列,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=优先队列；章节=全文
平衡二叉树,具体数据结构实体,2,平衡二叉树,data_structure.txt,平衡二叉树,平衡二叉树,全文,平衡二叉树,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=平衡二叉树；章节=全文
AVL树,具体数据结构实体,1,AVL树,data_structure.txt,AVL树,AVL树,全文,AVL树,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=AVL树；章节=全文
BFS,算法与操作实体,1,BFS,data_structure.txt,BFS,BFS,全文,BFS,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=BFS；章节=全文
DFS,算法与操作实体,1,DFS,data_structure.txt,DFS,DFS,全文,DFS,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=DFS；章节=全文
Dijkstra算法,算法与操作实体,1,Dijkstra算法,data_structure.txt,Dijkstra算法,Dijkstra算法,全文,Dijkstra算法,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Dijkstra算法；章节=全文
FIFO,性质与规则实体,1,FIFO,data_structure.txt,FIFO,FIFO,全文,FIFO,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=FIFO；章节=全文
LIFO,性质与规则实体,1,LIFO,data_structure.txt,LIFO,LIFO,全文,LIFO,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=LIFO；章节=全文
一对一关系,性质与规则实体,1,一对一关系,data_structure.txt,一对一关系,一对一关系,全文,一对一关系,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=一对一关系；章节=全文
一对多关系,性质与规则实体,1,一对多关系,data_structure.txt,一对多关系,一对多关系,全文,一对多关系,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=一对多关系；章节=全文
二叉搜索树,具体数据结构实体,1,二叉搜索树,data_structure.txt,二叉搜索树,二叉搜索树,全文,二叉搜索树,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=二叉搜索树；章节=全文
任务调度,应用场景实体,1,任务调度,data_structure.txt,任务调度,任务调度,全文,任务调度,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=任务调度；章节=全文
先进先出,性质与规则实体,1,先进先出,data_structure.txt,先进先出,先进先出,全文,先进先出,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=先进先出；章节=全文
函数调用,应用场景实体,1,函数调用,data_structure.txt,函数调用,函数调用,全文,函数调用,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=函数调用；章节=全文
右子树所有节点大于根节点,性质与规则实体,1,右子树所有节点大于根节点,data_structure.txt,右子树所有节点大于根节点,右子树所有节点大于根节点,全文,右子树所有节点大于根节点,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=右子树所有节点大于根节点；章节=全文
后进先出,性质与规则实体,1,后进先出,data_structure.txt,后进先出,后进先出,全文,后进先出,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=后进先出；章节=全文
哈希冲突,存储与组成相关实体,1,哈希冲突,data_structure.txt,哈希冲突,哈希冲突,全文,哈希冲突,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=哈希冲突；章节=全文
哈希函数,存储与组成相关实体,1,哈希函数,data_structure.txt,哈希函数,哈希函数,全文,哈希函数,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=哈希函数；章节=全文
完全二叉树,性质与规则实体,1,完全二叉树,data_structure.txt,完全二叉树,完全二叉树,全文,完全二叉树,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=完全二叉树；章节=全文
左子树所有节点小于根节点,性质与规则实体,1,左子树所有节点小于根节点,data_structure.txt,左子树所有节点小于根节点,左子树所有节点小于根节点,全文,左子树所有节点小于根节点,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=左子树所有节点小于根节点；章节=全文
布隆过滤器,具体数据结构实体,1,布隆过滤器,data_structure.txt,布隆过滤器,布隆过滤器,全文,布隆过滤器,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=布隆过滤器；章节=全文
建模网络关系,应用场景实体,1,建模网络关系,data_structure.txt,建模网络关系,建模网络关系,全文,建模网络关系,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=建模网络关系；章节=全文
开放寻址法,冲突处理方法实体,1,开放寻址法,data_structure.txt,开放寻址法,开放寻址法,全文,开放寻址法,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=开放寻址法；章节=全文
括号匹配问题,应用场景实体,1,括号匹配问题,data_structure.txt,括号匹配问题,括号匹配问题,全文,括号匹配问题,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=括号匹配问题；章节=全文
指针域,存储与组成相关实体,1,指针域,data_structure.txt,指针域,指针域,全文,指针域,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=指针域；章节=全文
数据域,存储与组成相关实体,1,数据域,data_structure.txt,数据域,数据域,全文,数据域,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=数据域；章节=全文
数组索引,存储与组成相关实体,1,数组索引,data_structure.txt,数组索引,数组索引,全文,数组索引,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=数组索引；章节=全文
旋转操作,算法与操作实体,1,旋转操作,data_structure.txt,旋转操作,旋转操作,全文,旋转操作,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=旋转操作；章节=全文
无向图,具体数据结构实体,1,无向图,data_structure.txt,无向图,无向图,全文,无向图,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=无向图；章节=全文
最大堆,具体数据结构实体,1,最大堆,data_structure.txt,最大堆,最大堆,全文,最大堆,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=最大堆；章节=全文
最小堆,具体数据结构实体,1,最小堆,data_structure.txt,最小堆,最小堆,全文,最小堆,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=最小堆；章节=全文
最短路径算法,算法与操作实体,1,最短路径算法,data_structure.txt,最短路径算法,最短路径算法,全文,最短路径算法,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=最短路径算法；章节=全文
有向图,具体数据结构实体,1,有向图,data_structure.txt,有向图,有向图,全文,有向图,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=有向图；章节=全文
概率型数据结构,性质与规则实体,1,概率型数据结构,data_structure.txt,概率型数据结构,概率型数据结构,全文,概率型数据结构,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=概率型数据结构；章节=全文
