main_entity,entity_type,mention_count,mentions,source_file,normalized_entity,aliases,section_titles,merged_entities,disambiguation_confidence,disambiguation_method,disambiguation_basis
类,数据类型实体,49,类,java.txt,类,类,数据类型 | 变量与运算符 | 面向对象基础 | 继承与多态 | 抽象类与接口 | 数组 | 字符串 | 异常处理 | 集合框架 | 泛型 | 反射 | 线程与并发 | JVM基础,类,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=类；章节=数据类型|变量与运算符|面向对象基础|继承与多态|抽象类与接口|数组|字符串|异常处理|集合框架|泛型|反射|线程与并发|JVM基础
接口,数据类型实体,15,接口,java.txt,接口,接口,数据类型 | 继承与多态 | 抽象类与接口 | 集合框架 | 线程与并发,接口,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=接口；章节=数据类型|继承与多态|抽象类与接口|集合框架|线程与并发
对象,面向对象核心实体,12,对象,java.txt,对象,对象,面向对象基础 | 继承与多态 | 字符串 | 反射 | JVM基础,对象,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=对象；章节=面向对象基础|继承与多态|字符串|反射|JVM基础
变量,变量与成员实体,11,变量,java.txt,变量,变量,变量与运算符 | 抽象类与接口 | JVM基础,变量,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=变量；章节=变量与运算符|抽象类与接口|JVM基础
Class,面向对象核心实体,10,Class | class,java.txt,Class,Class | class,面向对象基础 | 泛型 | 反射 | JVM基础,Class,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Class；章节=面向对象基础|泛型|反射|JVM基础
int,数据类型实体,8,int,java.txt,int,int,数据类型 | 关键字与修饰符 | 继承与多态 | 数组 | 注解,int,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=int；章节=数据类型|关键字与修饰符|继承与多态|数组|注解
注解,领域实体,8,注解,java.txt,注解,注解,数据类型 | 注解,注解,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=注解；章节=数据类型|注解
线程,线程与并发实体,8,线程,java.txt,线程,线程,字符串 | 集合框架 | 线程与并发,线程,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=线程；章节=字符串|集合框架|线程与并发
Map,集合框架实体,6,Map,java.txt,Map,Map,集合框架,Map,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Map；章节=集合框架
实例,面向对象核心实体,6,实例,java.txt,实例,实例,变量与运算符 | 面向对象基础 | 抽象类与接口 | 线程与并发 | JVM基础,实例,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=实例；章节=变量与运算符|面向对象基础|抽象类与接口|线程与并发|JVM基础
数据类型,数据类型实体,6,数据类型,java.txt,数据类型,数据类型,数据类型,数据类型,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=数据类型；章节=数据类型
数组,数据类型实体,6,数组,java.txt,数组,数组,数据类型 | 数组 | 集合框架,数组,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=数组；章节=数据类型|数组|集合框架
泛型,领域实体,6,泛型,java.txt,泛型,泛型,泛型,泛型,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=泛型；章节=泛型
继承,面向对象核心实体,6,继承,java.txt,继承,继承,面向对象基础 | 继承与多态 | 抽象类与接口 | 线程与并发,继承,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=继承；章节=面向对象基础|继承与多态|抽象类与接口|线程与并发
Set,集合框架实体,5,Set,java.txt,Set,Set,集合框架 | 反射,Set,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Set；章节=集合框架|反射
抽象类,数据类型实体,5,抽象类,java.txt,抽象类,抽象类,抽象类与接口,抽象类,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=抽象类；章节=抽象类与接口
父类,数据类型实体,5,父类,java.txt,父类,父类,面向对象基础 | 继承与多态 | 异常处理 | 泛型,父类,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=父类；章节=面向对象基础|继承与多态|异常处理|泛型
Exception,异常处理实体,4,Exception,java.txt,Exception,Exception,异常处理,Exception,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Exception；章节=异常处理
List,集合框架实体,4,List,java.txt,List,List,集合框架,List,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=List；章节=集合框架
final,关键字与修饰符实体,4,final,java.txt,final,final,关键字与修饰符 | 抽象类与接口 | 异常处理,final,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=final；章节=关键字与修饰符|抽象类与接口|异常处理
public,关键字与修饰符实体,4,public,java.txt,public,public,关键字与修饰符 | 抽象类与接口 | 泛型,public,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=public；章节=关键字与修饰符|抽象类与接口|泛型
运行,线程状态实体,4,运行,java.txt,运行,运行,异常处理 | 泛型 | 反射 | 线程与并发,运行,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=运行；章节=异常处理|泛型|反射|线程与并发
HashMap,集合框架实体,3,HashMap,java.txt,HashMap,HashMap,集合框架,HashMap,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=HashMap；章节=集合框架
Java,领域实体,3,Java,java.txt,Java,Java,数据类型 | 继承与多态 | 抽象类与接口,Java,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Java；章节=数据类型|继承与多态|抽象类与接口
Lock,线程与并发实体,3,Lock,java.txt,Lock,Lock,线程与并发,Lock,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=Lock；章节=线程与并发
String,数组与字符串实体,3,String,java.txt,String,String,字符串,String,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=String；章节=字符串
abstract,关键字与修饰符实体,3,abstract,java.txt,abstract,abstract,关键字与修饰符 | 抽象类与接口,abstract,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=abstract；章节=关键字与修饰符|抽象类与接口
extends,关键字与修饰符实体,3,extends,java.txt,extends,extends,关键字与修饰符 | 继承与多态 | 泛型,extends,1.0,实体标准化 + 候选召回（未发现需合并候选）,保留单实体=extends；章节=关键字与修饰符|继承与多态|泛型
