main_entity,entity_type,mention_count,mentions,source_file
MySQL,领域实体,21,MySQL,mysql.txt
SQL,领域实体,43,SQL,mysql.txt
关系型数据库管理系统,领域实体,1,关系型数据库管理系统,mysql.txt
数据库,领域实体,17,数据库,mysql.txt
RDBMS,领域实体,1,RDBMS,mysql.txt
存储引擎,领域实体,3,存储引擎,mysql.txt
InnoDB,存储引擎实体,9,InnoDB,mysql.txt
事务,领域实体,34,事务,mysql.txt
行锁,锁机制实体,6,行锁,mysql.txt
MyISAM,存储引擎实体,2,MyISAM,mysql.txt
表锁,锁机制实体,5,表锁,mysql.txt
服务层,基础架构实体,1,服务层,mysql.txt
连接管理,基础架构实体,1,连接管理,mysql.txt
SQL解析,基础架构实体,1,SQL解析,mysql.txt
优化器,基础架构实体,2,优化器,mysql.txt
查询缓存,基础架构实体,3,查询缓存,mysql.txt
执行器,基础架构实体,1,执行器,mysql.txt
存储引擎层,领域实体,2,存储引擎层,mysql.txt
插件式架构,基础架构实体,1,插件式架构,mysql.txt
数据库三范式,领域实体,3,数据库三范式,mysql.txt
主键,数据库设计与规范实体,17,主键,mysql.txt
反范式,数据库设计与规范实体,2,反范式,mysql.txt
冗余字段,数据库设计与规范实体,1,冗余字段,mysql.txt
联表查询,数据库设计与规范实体,8,联表查询,mysql.txt
数值型,数据类型实体,1,数值型,mysql.txt
int,数据类型实体,2,int,mysql.txt
bigint,数据类型实体,1,bigint,mysql.txt
double,数据类型实体,1,double,mysql.txt
decimal,数据类型实体,1,decimal,mysql.txt
字符串型,数据类型实体,1,字符串型,mysql.txt
varchar,数据类型实体,3,varchar,mysql.txt
char,数据类型实体,6,char,mysql.txt
text,数据类型实体,1,text,mysql.txt
日期型,数据类型实体,1,日期型,mysql.txt
date,数据类型实体,4,date,mysql.txt
datetime,数据类型实体,3,datetime,mysql.txt
timestamp,数据类型实体,3,timestamp,mysql.txt
唯一键,数据库设计与规范实体,3,唯一键,mysql.txt
外键,数据库设计与规范实体,4,外键,mysql.txt
参照完整性,数据库设计与规范实体,1,参照完整性,mysql.txt
逻辑外键,数据库设计与规范实体,1,逻辑外键,mysql.txt
索引,领域实体,56,索引,mysql.txt
索引下推,领域实体,1,索引下推,mysql.txt
回表,索引相关实体,5,回表,mysql.txt
CREATE,SQL分类实体,2,CREATE,mysql.txt
DDL,SQL分类实体,2,DDL,mysql.txt
ALTER,SQL分类实体,2,ALTER,mysql.txt
视图,MySQL8.0与扩展特性实体,4,视图,mysql.txt
DROP,SQL分类实体,2,DROP,mysql.txt
TRUNCATE,SQL分类实体,2,TRUNCATE,mysql.txt
INSERT,SQL分类实体,4,INSERT,mysql.txt
DELETE,SQL分类实体,5,DELETE,mysql.txt
DML,SQL分类实体,2,DML,mysql.txt
UPDATE,SQL分类实体,5,UPDATE,mysql.txt
WHERE,SQL分类实体,6,WHERE,mysql.txt
SELECT,SQL分类实体,8,SELECT,mysql.txt
条件查询,查询与连接实体,1,条件查询,mysql.txt
分组查询,查询与连接实体,2,分组查询,mysql.txt
排序,查询与连接实体,8,排序,mysql.txt
DQL,SQL分类实体,1,DQL,mysql.txt
ORDER BY,SQL分类实体,2,ORDER BY,mysql.txt
LIKE,SQL分类实体,2,LIKE,mysql.txt
LIMIT,SQL分类实体,6,LIMIT,mysql.txt
分页查询,查询与连接实体,1,分页查询,mysql.txt
GROUP BY,SQL分类实体,2,GROUP BY,mysql.txt
聚合函数,函数实体,3,聚合函数,mysql.txt
HAVING,SQL分类实体,1,HAVING,mysql.txt
COUNT,领域实体,3,COUNT,mysql.txt
