id,name,type,domain,mentionCount,mentions,sourceFile,attributeCount
JVM:加载,加载,类加载过程实体,JVM,146,加载,JVM.txt,0
JVM:gc,gc,领域实体,JVM,85,gc | GC,JVM.txt,0
JVM:堆,堆,内存区域实体,JVM,71,堆,JVM.txt,0
JVM:类加载,类加载,领域实体,JVM,63,类加载,JVM.txt,0
JVM:线程,线程,线程与私有性相关实体,JVM,62,线程,JVM.txt,0
JVM:使用,使用,类加载过程实体,JVM,60,使用,JVM.txt,0
JVM:垃圾回收,垃圾回收,领域实体,JVM,58,垃圾回收,JVM.txt,0
JVM:JVM,JVM,领域实体,JVM,46,JVM | jvm,JVM.txt,0
JVM:老年代,老年代,堆结构实体,JVM,36,老年代,JVM.txt,0
JVM:G1,G1,垃圾回收器实体,JVM,32,G1,JVM.txt,0
JVM:新生代,新生代,堆结构实体,JVM,27,新生代,JVM.txt,1
JVM:常量,常量,方法区与元数据相关实体,JVM,26,常量,JVM.txt,0
JVM:初始化,初始化,类加载过程实体,JVM,20,初始化,JVM.txt,1
JVM:大对象,大对象,对象与字符串相关实体,JVM,18,大对象,JVM.txt,1
JVM:方法区,方法区,内存区域实体,JVM,18,方法区,JVM.txt,1
JVM:栈帧,栈帧,栈与栈帧相关实体,JVM,18,栈帧,JVM.txt,0
JVM:CMS,CMS,垃圾回收器实体,JVM,17,CMS,JVM.txt,0
JVM:内存溢出,内存溢出,领域实体,JVM,17,内存溢出,JVM.txt,1
JVM:String,String,对象与字符串相关实体,JVM,16,String,JVM.txt,0
JVM:复制算法,复制算法,垃圾回收算法实体,JVM,16,复制算法,JVM.txt,0
JVM:OutOfMemoryError,OutOfMemoryError,异常与错误实体,JVM,15,OutOfMemoryError,JVM.txt,0
JVM:Minor GC,Minor GC,垃圾回收核心概念实体,JVM,14,Minor GC | minorGC,JVM.txt,0
JVM:ThreadLocal,ThreadLocal,代码与容器实体,JVM,14,ThreadLocal,JVM.txt,0
JVM:启动类加载器,启动类加载器,领域实体,JVM,14,启动类加载器,JVM.txt,0
JVM:存活对象,存活对象,垃圾回收核心概念实体,JVM,14,存活对象,JVM.txt,0
JVM:常量池,常量池,方法区与元数据相关实体,JVM,14,常量池,JVM.txt,0
JVM:弱引用,弱引用,引用类型实体,JVM,14,弱引用,JVM.txt,2
JVM:List,List,代码与容器实体,JVM,13,List | list,JVM.txt,0
JVM:局部变量,局部变量,栈与栈帧相关实体,JVM,13,局部变量,JVM.txt,0
JVM:Java 虚拟机,Java 虚拟机,领域实体,JVM,12,Java 虚拟机 | Java虚拟机,JVM.txt,0
JVM:元空间,元空间,内存区域实体,JVM,12,元空间,JVM.txt,0
JVM:栈溢出,栈溢出,场景与问题实体,JVM,12,栈溢出,JVM.txt,0
JVM:符号引用,符号引用,方法区与元数据相关实体,JVM,12,符号引用,JVM.txt,1
JVM:静态变量,静态变量,方法区与元数据相关实体,JVM,12,静态变量,JVM.txt,0
JVM:ClassLoader,ClassLoader,类加载器实体,JVM,11,ClassLoader,JVM.txt,0
JVM:GC Roots,GC Roots,垃圾回收核心概念实体,JVM,11,GC Roots,JVM.txt,0
JVM:内存泄漏,内存泄漏,领域实体,JVM,10,内存泄漏,JVM.txt,1
JVM:内存碎片,内存碎片,场景与问题实体,JVM,10,内存碎片,JVM.txt,0
JVM:标记阶段,标记阶段,垃圾回收算法实体,JVM,10,标记阶段,JVM.txt,0
JVM:虚拟机栈,虚拟机栈,内存区域实体,JVM,10,虚拟机栈,JVM.txt,0
JVM:验证,验证,类加载过程实体,JVM,9,验证,JVM.txt,0
JVM:Full GC,Full GC,垃圾回收核心概念实体,JVM,8,Full GC,JVM.txt,0
JVM:STW,STW,垃圾回收核心概念实体,JVM,8,STW,JVM.txt,0
JVM:Serial,Serial,垃圾回收器实体,JVM,8,Serial,JVM.txt,0
JVM:卸载,卸载,类加载过程实体,JVM,8,卸载,JVM.txt,0
JVM:双亲委派,双亲委派,领域实体,JVM,8,双亲委派,JVM.txt,0
JVM:方法调用,方法调用,栈与栈帧相关实体,JVM,8,方法调用,JVM.txt,0
JVM:直接引用,直接引用,方法区与元数据相关实体,JVM,8,直接引用,JVM.txt,0
JVM:解析,解析,类加载过程实体,JVM,8,解析,JVM.txt,0
JVM:Class 对象,Class 对象,类加载过程实体,JVM,7,Class 对象 | Class对象,JVM.txt,0
